idParroquiaSalud;idParroquias;idSalud;Parr_ubi
501;;66;Tenguel
502;333;66;Balzar
503;308;66;Daule
504;326;75;Milagro
505;326;66;Milagro
506;326;83;Milagro
507;;66;Naranjal
508;;66;La Libertad
509;;75;San José de Ancón
510;;66;Manglaralto
511;;83;Coronel Marcelino Maridueña (San Carlos)
512;;66;El Triunfo
513;;38;El Triunfo
514;;66;El Salitre (Las Ramas)
515;66;66;Salinas
516;327;66;Velasco Ibarra (El Empalme)
517;325;78;Guayaquil
518;325;33;Guayaquil
519;;38;La Libertad
520;;66;Naranjito
521;325;96;Guayaquil
522;325;114;Guayaquil
523;325;8;Guayaquil
524;;8;Eloy Alfaro (Durán)
525;325;113;Guayaquil
526;;113;Juan Gómez Rendón (Progreso)
527;;8;Posorja
528;;113;Puná
529;347;113;Balao
530;348;8;Colimes
531;;113;Isidro Ayora
532;308;113;Daule
533;;113;Narcisa de Jesús (Nobol)
534;;113;Los Lojas (Enrique Baquerizo Moreno)
535;;113;Lomas de Sargentillo
536;;113;Palestina
537;;30;Pedro Carbo
538;;8;Santa Lucía
539;;113;Guayas (Pueblo Nuevo)
540;;113;General Antonio Elizalde (Bucay)
541;;113;Mariscal Sucre (Huaques)
542;;8;Taura
543;;113;Naranjito
544;;8;Samborondón
545;;113;Tarifa
546;;8;Santa Elena
547;363;113;Chanduy
548;364;113;Atahualpa
549;;113;Colonche
550;363;8;Chanduy
551;;113;Manglaralto
552;;113;Junquillal
553;;113;Gral. Vernaza (Dos Esteros)
554;;113;La Victoria (Ñauza)
555;369;8;Alfredo Baquerizo Moreno (Jujín)
556;;113;Simón Bolívar
557;;113;Gral. Pedro J. Montero (Boliche)
558;;113;Yaguachi Viejo (Cone)
559;;113;Eloy Alfaro (Durán)
560;373;113;Anconcito
561;;113;Limonal
562;;113;Pedro Carbo
563;;113;Valle de la Virgen
564;;113;Santa Lucía
565;;113;Laurel
566;;113;Santa Elena
567;325;30;Guayaquil
568;369;113;Alfredo Baquerizo Moreno (Jujín)
569;;113;Sabanilla
570;326;113;Milagro
571;;113;Crnel.Lorenzo de Garaicoa (Pedregal)
572;;113;Morro
